YEAR,MAX ELEVATION,MIN ELEVATION,DIFFERENCE,MAX AIR TEMP,MIN AIR TEMP,MAX WATER TEMP,MIN WATER TEMP
2020,3608.73,3606.98,1.75,53,0,50,47
2019,3621.68,3568.51,53.17,104,0,82,45
2018,3622.74,3581.85,40.89,106,18,80,47
2017,3635.8,3593.85,41.95,108,21,81,47
2016,3621.45,3591.14,30.31,109,0,82,47
2015,3614.32,3589.82,24.5,107,19.9,81,47
2014,3609.72,3574.21,35.51,99,21.9,80,45
2013,3609.59,3584.43,25.16,99,12,80,43
2012,3639.62,3609.77,29.85,99,21,81,47
2011,3660.9,3609.7,51.2,99,1,82,45
2010,3638.82,3618.62,20.2,106,19,84,48
2009,3642.3,3609.7,32.6,107.1,16,80,47
2008,3633.72,3588.24,45.48,102.9,15.1,81,45
2007,3611.68,3594.64,17.04,106,12.9,82,45
2006,3610.87,3588.66,22.21,106,18,83,46
2005,3608.38,3555.1,53.28,107.1,15.1,83,48
2004,3597.06,3564.42,32.64,102,18,80,45
2003,3619.94,3597.22,22.72,107.1,19.9,83,47
2002,3656.08,3620.1,35.98,107.1,17.1,82,46
2001,3673.02,3656.17,16.85,102.9,17.1,80,46
2000,3683.4,3669.89,13.51,107,17,85,48
1999,3694.73,3677.2,17.53,110,17,79.5,50
1998,3697.06,3672.81,24.25,107,15,82,50
1997,3695.09,3663.08,32.01,120,18,80.5,50
1996,3688.31,3671.79,16.52,107,16,80,52
1995,3693.75,3644.59,49.16,115,20,n/a,n/a
1994,3665.75,3650.02,15.73,110,19,n/a,n/a
1993,3668.7,3612.46,56.24,106,18,n/a,n/a
1992,3634.01,3615.91,18.1,105,15,n/a,n/a
1991,3639.02,3624.55,14.47,103,12,n/a,n/a
1990,3658.42,3633.48,24.94,110,4,n/a,n/a
1989,3679.73,3658.46,21.27,109,-2,n/a,n/a
1988,3693.31,3679.76,13.55,106,13,n/a,n/a
1987,3698.47,3677.47,21,102,12,n/a,n/a
1986,3700.02,3680.68,19.34,104,17,n/a,n/a
1985,3700.12,3674.82,25.3,106,12,n/a,n/a
1984,3702.46,3672.99,29.47,102,17,n/a,n/a
1983,3708.34,3682.01,26.33,102,18,n/a,n/a
1982,3687.83,3661.89,25.94,103,10,n/a,n/a
1981,3681.38,3667.47,13.91,106,21,n/a,n/a
1980,3700.59,3672.45,28.14,105,25,n/a,n/a
1979,3684.77,3626.93,57.84,106,9,n/a,n/a
1978,3652.75,3622.29,30.46,105,5,n/a,n/a
1977,3655.4,3630.05,25.35,107,14,n/a,n/a
1976,3672.27,3655.31,16.96,106,15,n/a,n/a
1975,3674.93,3645.34,29.59,103,16,n/a,n/a
1974,3667.35,3646.92,20.43,107,7,n/a,n/a
1973,3648.84,3590.6,58.24,107,16,n/a,n/a
1972,3619.71,3603.02,16.69,108,15,n/a,n/a
1971,3622.34,3598.8,23.54,108,3,n/a,n/a
1970,3601.77,3566.62,35.15,108,14,n/a,n/a
1969,3581.18,3539.39,41.79,107,18,n/a,n/a
1968,3550.38,3513.3,37.08,106,8,n/a,n/a
1967,3532.85,3502.23,30.62,106,4,n/a,n/a
1966,3545.68,3521.45,24.23,106,11,n/a,n/a
1965,3534.63,3490.76,43.87,110,20,n/a,n/a
1964,3491.99,3394.5,97.49,107,8,n/a,n/a
